country_code,country_name,region,sub_region,year,arrivals_millions,arrivals_growth,tourism_receipts_usd_billions,tourism_receipts_growth,average_length_of_stay_days,arrivals_by_purpose_personal,arrivals_by_purpose_business ,top_source_country_1,top_source_country_1_share,top_source_country_2,top_source_country_2_Share,top_source_country_3,top_source_country_3_share,tourism_gdp,tourism_employment_thousands,renewable_energy,tourist_density_per_1000_residents
THA,Thailand,Asia,Southeast Asia,2018,"38,178.00",7.27,61.4,7.53,2.27,"36,121.50","2,056.70",China,27%,Malaysia,10%,South Korea,5%,20.7,"7,000",13,551
THA,Thailand,Asia,Southeast Asia,2019,"39,916.00",4.55,64.4,4.89,2.26,"37,872.80","2,043.50",China,27%,Malaysia,10%,South Korea,5%,20.3,"7,100",14,576
THA,Thailand,Asia,Southeast Asia,2020,"6,725.00",-83.15,15.4,-76.09,2.26,"6,483.30",241.8,China,25%,Malaysia,9%,South Korea,4%,11.3,"3,500",14,97
THA,Thailand,Asia,Southeast Asia,2021,511,-92.4,5,-67.53,2.26,466.3,44.4,China,25%,Malaysia,9%,South Korea,4%,10,"3,000",15,72
THA,Thailand,Asia,Southeast Asia,2022,"20,214.00",3855.77,40,700,2.26,"17,181.00","3,032.00",China,25%,Malaysia,9%,South Korea,4%,15.8,"6,000",16,291
TUR,Turkey,Europe,Western Asia,2015,"39,478.00",-0.84,35.7,-8,3.09,"37,898.90","1,579.10",Germany,14%,Russia,10%,UK,6%,12.1,"2,300",30,511
TUR,Turkey,Europe,Western Asia,2016,"30,289.00",-23.28,26.8,-24.93,2.6,"29,077.40","1,211.60",Germany,14%,Russia,10%,UK,6%,11.8,"2,350",31,385
TUR,Turkey,Europe,Western Asia,2017,"37,601.00",24.14,29.1,8.58,2.52,"36,097.00","1,504.00",Germany,14%,Russia,10%,UK,6%,11.9,"2,400",32,473
TUR,Turkey,Europe,Western Asia,2018,"45,768.00",21.72,37.2,27.84,2.65,"43,937.30","1,830.70",Germany,14%,Russia,10%,UK,6%,11.6,"2,450",33,560
TUR,Turkey,Europe,Western Asia,2019,"51,192.00",11.85,41.3,11.02,2.61,"49,144.30","2,047.70",Germany,14%,Russia,10%,UK,6%,11.5,"2,500",34,625
TUR,Turkey,Europe,Western Asia,2020,"15,894.00",-68.95,13.6,-67.07,2.28,"15,258.20",635.8,Germany,13%,Russia,9%,UK,5%,8.2,"1,800",34,189
TUR,Turkey,Europe,Western Asia,2021,"29,925.00",88.28,28.8,111.76,2.49,"28,728.00","1,197.00",Germany,13%,Russia,9%,UK,5%,9,"2,000",35,375
TUR,Turkey,Europe,Western Asia,2022,"50,453.00",68.6,41.7,44.79,2.56,"48,434.90","2,018.10",Germany,13%,Russia,9%,UK,5%,10.2,"2,300",36,643
MEX,Mexico,Americas,North America,2015,"32,093.00",9.36,18.7,13,3.95,"30,702.30","1,391.00",USA,70%,Canada,8%,UK,4%,15.9,"4,500",10,692
MEX,Mexico,Americas,North America,2016,"35,079.00",9.3,20.6,10.16,3.69,"33,451.00","1,628.00",USA,70%,Canada,8%,UK,4%,15.5,"4,600",11,779
MEX,Mexico,Americas,North America,2017,"39,291.00",12.01,22.5,9.22,3.49,"37,355.30","1,935.70",USA,70%,Canada,8%,UK,4%,15.2,"4,700",12,869
MEX,Mexico,Americas,North America,2018,"41,313.00",5.15,26,15.56,3.44,"39,310.30","2,002.40",USA,70%,Canada,8%,UK,4%,15.3,"4,800",13,893
MEX,Mexico,Americas,North America,2019,"45,024.00",8.98,27.1,4.23,3.36,"43,133.70","1,890.70",USA,70%,Canada,8%,UK,4%,15.5,"4,900",14,988
MEX,Mexico,Americas,North America,2020,"24,824.00",-44.86,12.1,-55.35,3.33,"23,785.30",498.3,USA,68%,Canada,7%,UK,3%,13.4,"3,500",14,539
MEX,Mexico,Americas,North America,2021,"31,860.00",28.34,21.5,77.69,3.52,"31,286.80",573.6,USA,68%,Canada,7%,UK,3%,13.8,"3,800",15,708
MEX,Mexico,Americas,North America,2022,"38,325.60",20.29,30.4,41.4,3.72,"37,183.40","1,142.10",USA,68%,Canada,7%,UK,3%,14.1,"4,500",16,843
ARE,United Arab Emirates,Asia,Western Asia,2015,"16,842.00",3.76,25.6,68,3.26,"12,631.50","4,210.50",India,15%,Saudi Arabia,10%,UK,8%,11.8,700,5,"1,948"
ARE,United Arab Emirates,Asia,Western Asia,2016,"18,143.00",7.72,28.7,12.11,3.23,"13,607.30","4,535.80",India,15%,Saudi Arabia,10%,UK,8%,11.9,720,6,"2,024"
ARE,United Arab Emirates,Asia,Western Asia,2017,"19,168.00",5.65,29.7,3.48,3.17,"14,376.00","4,792.00",India,15%,Saudi Arabia,10%,UK,8%,12,740,7,"2,127"
ARE,United Arab Emirates,Asia,Western Asia,2018,"20,214.00",5.46,34.6,16.5,3.16,"15,160.50","5,053.50",India,15%,Saudi Arabia,10%,UK,8%,11.8,760,8,"2,261"
ARE,United Arab Emirates,Asia,Western Asia,2019,"21,561.00",6.66,38.4,10.98,3.13,"16,170.80","5,390.30",India,15%,Saudi Arabia,10%,UK,8%,11.7,780,9,"2,460"
ARE,United Arab Emirates,Asia,Western Asia,2020,"7,165.00",-66.77,24.6,-35.94,3.66,"5,373.80","1,791.30",India,14%,Saudi Arabia,9%,UK,7%,9,500,10,"1,036"
ARE,United Arab Emirates,Asia,Western Asia,2021,"11,479.00",60.21,30,21.95,4,"8,609.30","2,869.80",India,14%,Saudi Arabia,9%,UK,7%,9.5,550,12,"1,815"
ARE,United Arab Emirates,Asia,Western Asia,2022,"19,033.00",65.81,36,20,3.38,"14,274.80","4,758.30",India,14%,Saudi Arabia,9%,UK,7%,10.7,700,15,"2,703"
JPN,Japan,Asia,Eastern Asia,2015,"19,737.00",47.15,27.3,31,1.33,"18,096.00","1,641.00",China,25%,South Korea,15%,Taiwan,10%,7.9,"4,200",8,147
JPN,Japan,Asia,Eastern Asia,2016,"24,039.00",21.8,33.4,22.34,1.32,"22,337.80","1,701.90",China,25%,South Korea,15%,Taiwan,10%,8,"4,300",9,189
JPN,Japan,Asia,Eastern Asia,2017,"28,691.00",19.35,37,10.78,1.32,"26,908.40","1,782.70",China,25%,South Korea,15%,Taiwan,10%,8.2,"4,400",10,226
JPN,Japan,Asia,Eastern Asia,2018,"31,192.00",8.72,45.3,22.43,1.33,"29,396.60","1,795.20",China,25%,South Korea,15%,Taiwan,10%,8.3,"4,500",11,246
JPN,Japan,Asia,Eastern Asia,2019,"31,882.00",2.21,49.2,8.61,1.34,"30,124.60","1,757.40",China,25%,South Korea,15%,Taiwan,10%,8.2,"4,600",12,252
JPN,Japan,Asia,Eastern Asia,2020,"4,115.80",-87.09,11.5,-76.63,1.33,"3,899.80",216,China,23%,South Korea,14%,Taiwan,9%,3.8,"1,800",13,33
JPN,Japan,Asia,Eastern Asia,2021,246,-94.02,5.4,-53.04,1.33,227.5,18.3,China,23%,South Korea,14%,Taiwan,9%,4,"2,000",15,2
JPN,Japan,Asia,Eastern Asia,2022,"3,832.00",1457.72,11,103.7,1.35,"3,409.70",422.4,China,23%,South Korea,14%,Taiwan,9%,5.6,"4,000",17,30
HRV,Croatia,Europe,Southern Europe,2015,"12,683.00",9.12,8.2,-8,3.58,"10,780.60","1,902.50",Germany,20%,Slovenia,12%,Austria,8%,19.5,300,45,"1,318"
HRV,Croatia,Europe,Southern Europe,2016,"13,809.00",8.88,9.1,10.98,3.59,"11,737.70","2,071.40",Germany,20%,Slovenia,12%,Austria,8%,19.8,310,46,"1,359"
HRV,Croatia,Europe,Southern Europe,2017,"15,593.00",12.92,10.3,13.19,3.49,"13,254.10","2,339.00",Germany,20%,Slovenia,12%,Austria,8%,20,320,47,"1,398"
HRV,Croatia,Europe,Southern Europe,2018,"16,645.00",6.75,11.4,10.68,3.39,"14,148.30","2,496.80",Germany,20%,Slovenia,12%,Austria,8%,20.1,330,48,"1,361"
HRV,Croatia,Europe,Southern Europe,2019,"17,353.00",4.25,12,5.26,3.27,"14,750.10","2,603.00",Germany,20%,Slovenia,12%,Austria,8%,20,340,49,"1,417"
HRV,Croatia,Europe,Southern Europe,2020,"5,545.00",-68.05,5.5,-54.17,3.64,"4,713.30",831.8,Germany,18%,Slovenia,11%,Austria,7%,15.6,250,50,510
HRV,Croatia,Europe,Southern Europe,2021,"10,641.00",91.9,10.9,98.18,3.85,"9,044.90","1,596.20",Germany,18%,Slovenia,11%,Austria,7%,16.5,270,52,805
